258,"Super Mixtape",2016,0,0,0,0,0,0,0,0,0,0
259,"Bastard Bonds",2016,17,1,0,0,0,129,25,19.99,19.99,9326
260,"Master Of Marbles",2016,0,0,0,0,0,0,0,3.99,3.99,0
261,"Fruit Ninja VR",2016,0,0,0,0,0,140,13,14.99,14.99,23495
262,"House of Snark 6-in-1 Bundle",2016,0,0,0,0,0,0,10,11.99,11.99,5022
263,"Yellow: The Yellow Artifact",2016,0,0,0,0,0,279,0,0.99,0.99,127159
264,"War Truck Simulator",2016,0,0,0,0,0,0,0,5.99,5.99,897
265,ItzaBitza,2009,0,0,0,0,0,0,0,9.99,9.99,1973
266,"Card of spirits",2016,0,0,0,0,1,0,19,1.99,1.99,0
267,"Abrix for kids",2016,0,0,0,0,1,0,19,4.99,4.99,8429
268,"Fantasy Mosaics 14: Fourth Color",2016,0,0,0,0,0,0,0,9.99,9.99,535
269,"Beasts Battle",2016,0,0,0,0,0,0,14,0.99,0.99,12734
270,"Trials of Azra",2016,0,0,0,0,1,0,30,9.99,8.99,0
271,"The Lords of the Earth Flame",2016,0,0,1,0,0,0,13,4.99,4.99,13093
272,Freebie,2016,0,0,0,0,0,349,5,0.99,0.99,160159
273,Spaera,2016,0,0,0,0,1,0,0,9.99,9.99,52729
274,"Go Mission: Space Travel",2016,0,0,0,0,0,0,0,0.99,0.99,8788
275,"Totally Unbalanced",2016,0,0,0,0,1,0,10,3.99,3.99,2332
276,ItzaZoo,2009,0,0,0,0,0,0,0,9.99,9.99,1793
277,Akin,2016,0,0,0,0,0,0,9,2.99,2.99,12734
278,Tetradecagon,2016,0,1,1,0,1,0,16,4.99,3.99,533
279,"Space Radiance",2016,0,0,0,0,0,0,0,1.99,1.99,3408
280,KARAKARA,2016,17,1,0,0,0,131,7,9.99,9.99,7533
281,"Simple Ball: Extended Edition",2016,0,0,0,0,0,0,42,0.99,0.99,1338
282,"Ludo Supremo",2016,0,0,0,0,0,0,0,2.99,2.99,18294
283,"Pepe Porcupine",2016,0,0,0,0,0,0,0,2.99,2.99,20446
284,"Puzzles Under The Hill",2016,0,0,0,0,0,0,0,2.99,2.99,24212
285,"Perfect Angle VR - Zen edition",2016,0,0,0,0,0,0,0,4.99,4.99,5560
286,Lantern,2016,0,0,0,0,1,0,0,0,0,0
287,Risen,2009,17,1,0,77,0,2622,0,9.99,9.99,872536
288,"Conan the mighty pig",2016,0,0,0,0,0,0,0,0.99,0.99,10223
